Ground Truth,Prediction
vai nel registro chiamate,mali visita mahali
chiama emergenza,quattro
nave, ಎದ
sei,
cancella,
vivavoce, more
zelo, ಎದ
apri,apriya
vai alla tastiera, ಎದ
sopra,sopra
nuovo contatto, more content
sette,tapu
chiama emergenza,tata
nove, n
cinque,top 2
top,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
terminare,tata
disattiva vivavoce, ಎದ
tre, ಎದ
apri rubrica 3,tapu
quattro,quattro
vai nei preferiti,अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso, Kiitos.
due,drahttapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapattapatt
attiva vivavoce,tapu
nave,
chiudi rubrica,
aggiungi,apriya
vai nella rubrica,sali
sotto,
rimuovi,
rubrica, ಎದ
scorri verso l alto, Kitchen
richiama,tastu
muovi, ಎದ
preferiti,
apri,apriya
apri rubrica 2,tapu
salva,
zelo, ಎದ
scendi,sanda
muto,
otto,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
vai alla pagina principale, ಎ
cella,top
sezione,sukhata
apri rubrica 1,apnave
fai una telefonata, PRACTICAL PART 2
no, ಎದ
deseleziona, भीश़दट्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce, more
vai nel registro chiamate,vaiṃnudesattvaṃ
sei, uh
vai alla tastiera,vaiyapasna
chiama ultimo numero, त्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
mali, PRACTICE PART 2
uno,
seleziona,sali sa
cancella,
cancella tutto, ಎದ
termina chiamata, ಎದ
si,
indietro, ಎದ
chiudi,
zero,
scesi,
cancella contatto, ಎದ
chiamata,
chiama,
stop, ಎದ
chiudi applicazione,
esci da rubrica,
sali,
aggiungi ai preferiti,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
tastiera,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
raggiungi,च्द्वःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
tra, ಎದ
bue, ಎದ
zero, more
richiama,sittan
top, uh
stop,
chiama emergenza,tata
tre, uh
nuovo contatto, more
terminare,
cella, ಎದ
rimuovi,tastina
rubrica,
aggiungi,aggiendi
no, ಎದ
cinque,top
cancella contatto, ಎದ
apri rubrica 3, ಎದ
sali,
due, ಎದ
scesi,
muto, ಎದ
otto,apriya
chiudi rubrica, ಎದ
attiva vivavoce, ಎಎ
fai una telefonata, ಎದ
scorri verso il basso,soprava shiva shiva shiva
vai alla tastiera,tastinak
mali,
apri rubrica 2,
vai alla pagina principale,च्द्द्ददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
scorri verso l alto,tastata
quattro,
si,
preferiti,tapu
aggiungi ai preferiti,aggiungi vivaii
apri rubrica 1,apriya
tastiera, ಎ
chiama ultimo numero,च्दददददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
esci da rubrica,
sopra,s
nave,tapu
sette,
seleziona,
vai nella rubrica,sana
cancella tutto,चद्ःदददद
indietro,
apri,
sei, ಎದ
termina chiamata, ಎದ
zelo, ಎದ
uno, ಎದ
chiamata,tastu
scendi,
sotto,sopra
deseleziona, more
sezione,
nove, n
vai nei preferiti,sana
cancella,चद्दःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
disattiva vivavoce, तःद्दददबच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
chiama,
vai nel registro chiamate,vaii nesimu
salva,अःःः
chiudi,
chiudi applicazione,
vivavoce, ಎದ
muovi, n
bue, ಎದ
tra, ಎದ
raggiungi, ಎ
cancella tutto,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
aggiungi,aggiungi
top,अप्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
raggiungi,च्याद्वःद
esci da rubrica,
tre,tap
mali,mauv
aggiungi ai preferiti,aggiungi patapattika
sopra,sopra
apri rubrica 1,apri rubri
sette,sopra
chiudi applicazione, तदबच्दःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
richiama, ಎಎ
vai alla tastiera,sali kesele
otto,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
cinque,
muto,
chiama ultimo numero, ಎದ
due, ಎದ
sezione,safana
sali,sali.
muovi,mali
vai nel registro chiamate,vai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva vivavocevai nel registro chiamateciattiva viv
seleziona,sopra
cancella contatto,च्द्द्दददददद
salva,tastaa.
vai alla pagina principale, why is it not in the top?
fai una telefonata, ಎದ
stop,sap
sotto,sata
chiama emergenza,च्दद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द
zero,mata
quattro,
indietro,aggi
preferiti, ಎದ
chiamata,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
apri rubrica 3,aprivi
scendi,
scorri verso l alto, more in the description
tastiera,tastata
nove, तुब्रिप्दृद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्
sei,tast.
cella,sala
vai nei preferiti, lana sekshi
uno,
nuovo contatto,louder than that
si,
termina chiamata,चद्ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso,scorri verso il basso.sopravi verso il basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso basso
apri rubrica 2,aggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggi
attiva vivavoce,aggi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
zelo, more
vai nella rubrica,bamalala
vivavoce,
rubrica,tapu
rimuovi,rimuovi contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
apri,
disattiva vivavoce, mejati maithapattu
nave,tapu
no, ಎದ
chiudi,sopraptor
terminare,tapu laapu
scesi,
tra,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
bue, ಎದ
chiudi rubrica, ಎದ
cancella,चद्दःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
deseleziona, more
chiama,quanny
chiudi applicazione, yudi apriya sevai
cinque, तिंक्ःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
top,
chiamata, yānappa
seleziona,saretiya
tre,tastu
apri rubrica 2,apri rubrica 2
zero, ಎದ
deseleziona, तच्दःददश्यः
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
indietro,indieta
sette,satta
stop,stop
sopra,sali
no, yā
scorri verso il basso, त्फ्वःदिःदददददद
chiudi rubrica,
sali,sali
termina chiamata, तेदिनाःट्याःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
vai nei preferiti,vai nakrata vivi
tastiera, अच्ट्टिःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
due,duevsev
attiva vivavoce,aggiya vivaguti
otto,apri
muto,
fai una telefonata,tai hua te desu vata
raggiungi,aliwaz laguni laguni
apri rubrica 3,apri rubrica 2
vai nella rubrica,vai renavagriya
vivavoce,
vai nel registro chiamate,vai meru chiti lukti lata
sotto,
nuovo contatto, more contatto
cancella,cancella
sezione,si ti ora
salva,saliya
si,si
mali, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
muovi,mali
scorri verso l alto,ali-leslaate
rimuovi,rimali
rubrica,lubrica
nave, n
scendi,
chiama emergenza, yalla vivasita
cella,tela
aggiungi,apriya jnani
vai alla pagina principale, ताःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sei,si
terminare,tai nare
apri,
vai alla tastiera,vaiya vakateeshiya da
richiama, ಎದ
uno,वाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
zelo,
disattiva vivavoce, Életénevehújt!
scesi,si
nove,nave
preferiti, more
quattro,quattro
cancella contatto,cancella contatto
chiama, yalla
cancella tutto, cinti ega tuttu
chiudi, yairochiudi
esci da rubrica,
apri rubrica 1,apri rubrica 2
bue, ಎದ
tra,tap
aggiungi ai preferiti, more
scorri verso l alto, च्योड़िःच्दाद
zero,vaii
scesi,
vivavoce, meña rubrica 2
vai nella rubrica, ताःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 2,apri rubrica 2.2.2
due,due
stop,stop
top,top
chiudi rubrica, तेःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए�
sali,sali.sali.
tre,trivi
aggiungi ai preferiti,aggiungi ai teriti
rubrica,lubrica
rimuovi,tastu
cancella, yajin mitiya
raggiungi, अद्योच्यःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
muto, more
otto, अच्द
indietro,indieta
apri rubrica 3,apri rubrica 2
cella,tela
chiamata, तवःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
disattiva vivavoce, अच्द्द्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःदिःदिःदिःदिःदिःदिःदिः�
termina chiamata,taiya vata
tastiera,
seleziona,seleziona rubrica 2
nuovo contatto, more content
vai nei preferiti,vaiṃateviṃ
quattro,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
mali, nai nai
cinque, च्यदब्रट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
vai nel registro chiamate,vai nel registro chiamate rubrica 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
